timestamp,Basel Temperature [2 m elevation corrected],Basel Soil Moisture [0-10 cm down]
20220503T0800,15.180529,0.236
20220503T0900,17.270529,0.236
20220503T1000,18.350529,0.235
20220503T1100,19.190529,0.234
20220503T1200,19.990528,0.234
20220503T1300,20.410528,0.233
20220503T1400,20.48053,0.232
20220503T1500,20.32053,0.231
20220503T1600,19.600529,0.23
20220503T1700,19.340528,0.23
20220503T1800,18.610529,0.228
20220503T1900,18.04053,0.228
20220503T2000,17.05053,0.228
20220503T2100,15.400529,0.229
20220503T2200,14.3005295,0.229
20220503T2300,13.780529,0.229
20220504T0000,13.290529,0.229
20220504T0100,12.590529,0.229
20220504T0200,11.920529,0.229
20220504T0300,11.740529,0.229
20220504T0400,11.660529,0.229
20220504T0500,11.870529,0.229
20220504T0600,12.900529,0.229
20220504T0700,14.150529,0.23
20220504T0800,16.670528,0.23
20220504T0900,17.500528,0.229
20220504T1000,17.750528,0.229
20220504T1100,18.660528,0.229
20220504T1200,18.54053,0.229
20220504T1300,18.04053,0.23
20220504T1400,17.37053,0.232
20220504T1500,16.87053,0.232
20220504T1600,17.48053,0.232
20220504T1700,17.40053,0.231
20220504T1800,16.750528,0.231
20220504T1900,15.3005295,0.231
20220504T2000,14.290529,0.231
20220504T2100,13.910529,0.231
20220504T2200,13.450529,0.231
20220504T2300,13.040529,0.231
20220505T0000,12.720529,0.231
20220505T0100,12.320529,0.231
20220505T0200,11.470529,0.231
20220505T0300,10.870529,0.231
20220505T0400,10.380529,0.231
20220505T0500,10.420529,0.231
20220505T0600,10.920529,0.232
20220505T0700,10.810529,0.239
20220505T0800,10.660529,0.257
20220505T0900,11.290529,0.266
20220505T1000,12.340529,0.267
20220505T1100,12.810529,0.268
20220505T1200,14.670529,0.242
20220505T1300,15.080529,0.242
20220505T1400,15.060529,0.242
20220505T1500,15.140529,0.242
20220505T1600,14.990529,0.245
20220505T1700,14.790529,0.249
20220505T1800,14.3005295,0.252
20220505T1900,13.350529,0.257
20220505T2000,12.570529,0.257
20220505T2100,12.070529,0.258
20220505T2200,11.820529,0.259
20220505T2300,11.590529,0.261
20220506T0000,11.260529,0.266
20220506T0100,11.150529,0.266
20220506T0200,10.870529,0.265
20220506T0300,10.680529,0.273
20220506T0400,10.630529,0.275
20220506T0500,10.810529,0.274
20220506T0600,11.860529,0.273
20220506T0700,12.210529,0.273
20220506T0800,13.240529,0.275
20220506T0900,14.420529,0.274
20220506T1000,15.360529,0.275
20220506T1100,17.04053,0.275
20220506T1200,17.610529,0.274
20220506T1300,19.280529,0.273
20220506T1400,18.270529,0.271
20220506T1500,16.14053,0.272
20220506T1600,16.96053,0.272
20220506T1700,17.100529,0.272
20220506T1800,16.79053,0.271
20220506T1900,16.420528,0.271
20220506T2000,16.160528,0.27
20220506T2100,15.680529,0.269
20220506T2200,15.220529,0.269
20220506T2300,14.850529,0.268
20220507T0000,14.440529,0.268
20220507T0100,13.700529,0.267
20220507T0200,12.480529,0.267
20220507T0300,11.330529,0.267
20220507T0400,10.900529,0.266
20220507T0500,11.060529,0.266
20220507T0600,11.670529,0.265
20220507T0700,12.670529,0.265
20220507T0800,14.290529,0.264
20220507T0900,16.190529,0.263
20220507T1000,17.89053,0.261
20220507T1100,18.95053,0.26
20220507T1200,18.020529,0.257
20220507T1300,18.690529,0.257
20220507T1400,19.80053,0.256
20220507T1500,19.350529,0.255
20220507T1600,19.170528,0.255
20220507T1700,18.90053,0.254
20220507T1800,18.430529,0.254
20220507T1900,17.31053,0.253
20220507T2000,15.620529,0.253
20220507T2100,14.070529,0.253
20220507T2200,12.620529,0.253
20220507T2300,11.660529,0.253
20220508T0000,11.230529,0.253
20220508T0100,11.260529,0.253
20220508T0200,11.090529,0.253
20220508T0300,10.730529,0.253
20220508T0400,10.520529,0.253
20220508T0500,10.530529,0.253
20220508T0600,11.600529,0.253
20220508T0700,13.260529,0.253
20220508T0800,15.820529,0.252
20220508T0900,19.12053,0.252
20220508T1000,18.990528,0.251
20220508T1100,19.410528,0.25
20220508T1200,19.180529,0.254
20220508T1300,19.32053,0.253
20220508T1400,19.48053,0.251
20220508T1500,19.530529,0.251
20220508T1600,20.280529,0.25
20220508T1700,19.510529,0.25
20220508T1800,19.14053,0.249
20220508T1900,18.30053,0.249
20220508T2000,17.13053,0.249
20220508T2100,15.520529,0.249
20220508T2200,14.270529,0.249
20220508T2300,12.940529,0.249
20220509T0000,11.990529,0.249
20220509T0100,11.260529,0.249
20220509T0200,11.060529,0.249
20220509T0300,10.900529,0.249
20220509T0400,10.780529,0.25
20220509T0500,10.870529,0.25
20220509T0600,11.900529,0.249
20220509T0700,13.320529,0.249
20220509T0800,15.150529,0.249
20220509T0900,17.54053,0.248
20220509T1000,19.500528,0.247
20220509T1100,20.530529,0.246
20220509T1200,21.270529,0.242
20220509T1300,21.90053,0.241
20220509T1400,22.47053,0.24
20220509T1500,22.910528,0.239
20220509T1600,22.780529,0.238
20220509T1700,22.29053,0.237
20220509T1800,21.510529,0.237
20220509T1900,20.73053,0.237
20220509T2000,19.72053,0.237
20220509T2100,17.600529,0.237
20220509T2200,16.270529,0.237
20220509T2300,15.640529,0.237
20220510T0000,15.020529,0.237
20220510T0100,14.740529,0.237
20220510T0200,14.200529,0.237
20220510T0300,13.740529,0.237
20220510T0400,13.400529,0.237
20220510T0500,13.230529,0.237
20220510T0600,14.410529,0.237
20220510T0700,16.70053,0.237
20220510T0800,19.170528,0.236
20220510T0900,21.510529,0.236
20220510T1000,22.580528,0.235
20220510T1100,23.440529,0.234
20220510T1200,24.270529,0.24
20220510T1300,24.850529,0.239
20220510T1400,25.15053,0.236
20220510T1500,25.080528,0.235
20220510T1600,24.95053,0.235
20220510T1700,24.430529,0.234
20220510T1800,23.670528,0.234
20220510T1900,22.32053,0.233
20220510T2000,21.70053,0.233
20220510T2100,20.750528,0.233
20220510T2200,18.98053,0.233
20220510T2300,17.510529,0.233
20220511T0000,17.030529,0.233
20220511T0100,16.280529,0.233
20220511T0200,14.960529,0.233
20220511T0300,15.070529,0.233
20220511T0400,15.590529,0.233
20220511T0500,15.040529,0.233
20220511T0600,15.770529,0.233
20220511T0700,18.500528,0.233
20220511T0800,20.990528,0.233
20220511T0900,23.350529,0.232
20220511T1000,25.680529,0.231
20220511T1100,26.660528,0.23
20220511T1200,26.79053,0.23
20220511T1300,27.430529,0.229
20220511T1400,27.850529,0.228
20220511T1500,27.940529,0.227
20220511T1600,27.780529,0.226
20220511T1700,27.12053,0.225
20220511T1800,26.020529,0.225
20220511T1900,23.180529,0.225
20220511T2000,20.64053,0.225
20220511T2100,22.010529,0.224
20220511T2200,21.45053,0.224
20220511T2300,20.14053,0.223
20220512T0000,19.110529,0.223
20220512T0100,18.14053,0.223
20220512T0200,17.190529,0.223
20220512T0300,16.79053,0.223
20220512T0400,16.860529,0.223
20220512T0500,16.180529,0.223
20220512T0600,17.23053,0.223
20220512T0700,18.40053,0.222
20220512T0800,19.360529,0.222
20220512T0900,20.490528,0.221
20220512T1000,21.760529,0.22
20220512T1100,22.89053,0.22
20220512T1200,24.600529,0.222
20220512T1300,24.860529,0.221
20220512T1400,23.770529,0.221
20220512T1500,23.190529,0.22
20220512T1600,22.610529,0.22
20220512T1700,22.250528,0.22
20220512T1800,21.81053,0.22
20220512T1900,21.39053,0.22
20220512T2000,20.750528,0.22
20220512T2100,19.38053,0.221
20220512T2200,19.15053,0.221
20220512T2300,17.680529,0.221
20220513T0000,16.670528,0.221
20220513T0100,16.020529,0.221
20220513T0200,16.63053,0.221
20220513T0300,17.06053,0.221
20220513T0400,16.88053,0.221
20220513T0500,16.600529,0.221
20220513T0600,18.20053,0.221
20220513T0700,19.260529,0.221
20220513T0800,21.04053,0.221
20220513T0900,22.350529,0.221
20220513T1000,23.780529,0.22
20220513T1100,24.420528,0.219
20220513T1200,20.690529,0.249
20220513T1300,20.90053,0.248
20220513T1400,21.32053,0.247
20220513T1500,21.54053,0.247
20220513T1600,21.40053,0.246
20220513T1700,21.62053,0.245
20220513T1800,21.110529,0.244
20220513T1900,20.270529,0.244
20220513T2000,19.63053,0.244
20220513T2100,18.40053,0.244
20220513T2200,16.740528,0.244
20220513T2300,15.290529,0.244
20220514T0000,14.650529,0.244
20220514T0100,13.830529,0.243
20220514T0200,13.150529,0.243
20220514T0300,13.210529,0.243
20220514T0400,13.020529,0.243
20220514T0500,13.410529,0.243
20220514T0600,14.370529,0.243
20220514T0700,15.970529,0.243
20220514T0800,18.160528,0.242
20220514T0900,20.250528,0.241
20220514T1000,21.520529,0.241
20220514T1100,22.45053,0.24
20220514T1200,22.750528,0.237
20220514T1300,23.56053,0.236
20220514T1400,23.920528,0.235
20220514T1500,24.04053,0.234
20220514T1600,23.850529,0.233
20220514T1700,23.420528,0.233
20220514T1800,22.46053,0.232
20220514T1900,20.54053,0.232
20220514T2000,18.830528,0.232
20220514T2100,17.48053,0.232
20220514T2200,17.07053,0.232
20220514T2300,16.410528,0.232
20220515T0000,15.840529,0.232
20220515T0100,15.500529,0.232
20220515T0200,15.240529,0.232
20220515T0300,14.700529,0.232
20220515T0400,14.110529,0.232
20220515T0500,15.070529,0.232
20220515T0600,16.98053,0.232
20220515T0700,19.05053,0.232
20220515T0800,21.610529,0.23
20220515T0900,23.610529,0.23
20220515T1000,25.030529,0.229
20220515T1100,26.04053,0.228
20220515T1200,26.840528,0.224
20220515T1300,27.57053,0.223
20220515T1400,27.990528,0.222
20220515T1500,28.170528,0.222
20220515T1600,28.030529,0.221
20220515T1700,27.72053,0.22
20220515T1800,27.080528,0.219
20220515T1900,26.07053,0.219
20220515T2000,24.610529,0.219
20220515T2100,21.340528,0.219
20220515T2200,19.360529,0.219
20220515T2300,19.89053,0.219
20220516T0000,19.670528,0.224
20220516T0100,18.57053,0.23
20220516T0200,18.14053,0.23
20220516T0300,17.71053,0.23
20220516T0400,17.05053,0.23
20220516T0500,16.70053,0.23
20220516T0600,17.97053,0.23
20220516T0700,19.82053,0.23
20220516T0800,21.72053,0.23
20220516T0900,23.56053,0.229
20220516T1000,25.14053,0.228
20220516T1100,24.88053,0.229
20220516T1200,22.190529,0.209
20220516T1300,22.080528,0.209
20220516T1400,22.55053,0.209
20220516T1500,23.64053,0.209
20220516T1600,23.840528,0.209
20220516T1700,23.750528,0.209
20220516T1800,23.330528,0.208
20220516T1900,22.21053,0.208
20220516T2000,21.030529,0.208
20220516T2100,20.05053,0.208
20220516T2200,18.840528,0.208
20220516T2300,17.71053,0.208
20220517T0000,16.760529,0.208
20220517T0100,16.280529,0.208
20220517T0200,15.990529,0.208
20220517T0300,15.690529,0.208
20220517T0400,15.110529,0.208
20220517T0500,15.270529,0.208
20220517T0600,17.760529,0.208
20220517T0700,19.96053,0.208
20220517T0800,22.13053,0.208
20220517T0900,23.48053,0.207
20220517T1000,24.55053,0.206
20220517T1100,25.530529,0.205
20220517T1200,25.600529,0.232
20220517T1300,26.100529,0.231
20220517T1400,26.40053,0.229
20220517T1500,26.490528,0.228
20220517T1600,26.32053,0.228
20220517T1700,25.90053,0.227
20220517T1800,25.260529,0.227
20220517T1900,24.30053,0.227
20220517T2000,23.420528,0.227
20220517T2100,21.82053,0.227
20220517T2200,20.13053,0.227
20220517T2300,19.090528,0.227
20220518T0000,18.420528,0.227
20220518T0100,17.98053,0.227
20220518T0200,17.13053,0.227
20220518T0300,16.06053,0.227
20220518T0400,15.200529,0.227
20220518T0500,15.380529,0.227
20220518T0600,17.72053,0.227
20220518T0700,20.70053,0.226
20220518T0800,23.260529,0.226
20220518T0900,25.160528,0.225
20220518T1000,26.360529,0.225
20220518T1100,27.260529,0.223
20220518T1200,27.760529,0.213
20220518T1300,28.29053,0.212
20220518T1400,28.57053,0.212
20220518T1500,28.56053,0.211
20220518T1600,28.280529,0.21
20220518T1700,27.70053,0.209
20220518T1800,26.70053,0.209
20220518T1900,25.010529,0.208
20220518T2000,22.860529,0.208
20220518T2100,20.840528,0.208
20220518T2200,19.81053,0.208
20220518T2300,18.830528,0.208
20220519T0000,18.30053,0.208
20220519T0100,17.910528,0.208
20220519T0200,17.07053,0.208
20220519T0300,16.07053,0.208
20220519T0400,15.090529,0.208
20220519T0500,15.850529,0.208
20220519T0600,18.45053,0.208
20220519T0700,21.780529,0.208
20220519T0800,24.000528,0.207
20220519T0900,25.430529,0.207
20220519T1000,26.160528,0.207
20220519T1100,27.80053,0.206
20220519T1200,28.45053,0.193
20220519T1300,28.95053,0.193
20220519T1400,28.72053,0.194
20220519T1500,28.22053,0.199
20220519T1600,28.180529,0.201
20220519T1700,28.37053,0.201
20220519T1800,27.910528,0.201
20220519T1900,25.80053,0.201
20220519T2000,23.45053,0.201
20220519T2100,22.340528,0.205
20220519T2200,21.490528,0.213
20220519T2300,21.280529,0.214
20220520T0000,21.330528,0.214
20220520T0100,21.04053,0.214
20220520T0200,18.47053,0.214
20220520T0300,16.88053,0.214
20220520T0400,16.170528,0.214
20220520T0500,17.080528,0.214
20220520T0600,19.97053,0.214
20220520T0700,23.05053,0.213
20220520T0800,25.750528,0.213
20220520T0900,28.45053,0.212
20220520T1000,29.39053,0.212
20220520T1100,31.15053,0.211
20220520T1200,32.08053,0.176
20220520T1300,32.84053,0.176
20220520T1400,32.71053,0.175
20220520T1500,32.59053,0.175
20220520T1600,32.60053,0.174
20220520T1700,30.440529,0.174
20220520T1800,28.930529,0.174
20220520T1900,27.04053,0.174
20220520T2000,25.850529,0.174
20220520T2100,24.32053,0.174
20220520T2200,22.850529,0.174
20220520T2300,21.160528,0.175
20220521T0000,20.100529,0.176
20220521T0100,19.12053,0.176
20220521T0200,18.20053,0.176
20220521T0300,17.000528,0.176
20220521T0400,16.270529,0.176
20220521T0500,16.090528,0.176
20220521T0600,16.30053,0.176
20220521T0700,17.32053,0.176
20220521T0800,18.670528,0.176
20220521T0900,20.340528,0.175
20220521T1000,22.07053,0.175
20220521T1100,23.260529,0.175
20220521T1200,23.98053,0.214
20220521T1300,24.98053,0.214
20220521T1400,25.56053,0.213
20220521T1500,25.55053,0.212
20220521T1600,25.270529,0.211
20220521T1700,24.71053,0.211
20220521T1800,23.860529,0.209
20220521T1900,22.32053,0.209
20220521T2000,20.490528,0.209
20220521T2100,18.90053,0.209
20220521T2200,17.81053,0.209
20220521T2300,17.000528,0.209
20220522T0000,16.260529,0.209
20220522T0100,15.760529,0.209
20220522T0200,15.330529,0.209
20220522T0300,15.080529,0.21
20220522T0400,13.390529,0.21
20220522T0500,14.090529,0.21
20220522T0600,16.54053,0.209
20220522T0700,19.39053,0.209
20220522T0800,20.48053,0.209
20220522T0900,22.750528,0.208
20220522T1000,24.15053,0.207
20220522T1100,24.38053,0.207
20220522T1200,25.260529,0.197
20220522T1300,25.82053,0.197
20220522T1400,26.40053,0.196
20220522T1500,26.72053,0.196
20220522T1600,26.72053,0.195
20220522T1700,26.610529,0.195
20220522T1800,26.22053,0.195
20220522T1900,24.45053,0.194
20220522T2000,22.45053,0.194
20220522T2100,20.37053,0.194
20220522T2200,19.90053,0.194
20220522T2300,19.46053,0.194
20220523T0000,18.22053,0.194
20220523T0100,17.500528,0.194
20220523T0200,16.96053,0.194
20220523T0300,17.030529,0.2
20220523T0400,16.23053,0.207
20220523T0500,16.62053,0.217
20220523T0600,17.55053,0.217
20220523T0700,19.62053,0.216
20220523T0800,22.860529,0.216
20220523T0900,25.48053,0.215
20220523T1000,27.430529,0.214
20220523T1100,28.840528,0.214
20220523T1200,27.930529,0.206
20220523T1300,28.98053,0.205
20220523T1400,26.71053,0.206
20220523T1500,26.010529,0.207
20220523T1600,25.030529,0.21
20220523T1700,23.29053,0.212
20220523T1800,22.22053,0.211
20220523T1900,20.360529,0.211
20220523T2000,19.170528,0.211
20220523T2100,18.37053,0.21
20220523T2200,17.930529,0.21
20220523T2300,17.21053,0.21
20220524T0000,16.79053,0.21
20220524T0100,16.610529,0.211
20220524T0200,16.610529,0.211
20220524T0300,16.40053,0.211
20220524T0400,15.710529,0.211
20220524T0500,15.060529,0.211
20220524T0600,14.450529,0.214
20220524T0700,16.030529,0.218
20220524T0800,15.360529,0.219
20220524T0900,15.950529,0.219
20220524T1000,16.260529,0.218
20220524T1100,16.530529,0.217
20220524T1200,18.06053,0.202
20220524T1300,19.030529,0.202
20220524T1400,19.37053,0.201
20220524T1500,19.79053,0.201
20220524T1600,19.56053,0.2
20220524T1700,19.06053,0.2
20220524T1800,18.62053,0.2
20220524T1900,18.22053,0.199
20220524T2000,16.770529,0.199
20220524T2100,15.720529,0.199
20220524T2200,14.8005295,0.199
20220524T2300,14.000529,0.199
20220525T0000,13.380529,0.199
20220525T0100,12.8005295,0.199
20220525T0200,12.5505295,0.199
20220525T0300,12.310529,0.199
20220525T0400,12.130529,0.199
20220525T0500,12.660529,0.199
20220525T0600,13.970529,0.199
20220525T0700,15.870529,0.199
20220525T0800,17.580528,0.198
20220525T0900,18.87053,0.198
20220525T1000,19.29053,0.198
20220525T1100,19.95053,0.197
20220525T1200,21.12053,0.217
20220525T1300,21.330528,0.216
20220525T1400,22.030529,0.216
20220525T1500,22.32053,0.215
20220525T1600,22.15053,0.214
20220525T1700,21.65053,0.214
20220525T1800,20.79053,0.213
20220525T1900,19.270529,0.213
20220525T2000,17.97053,0.213
20220525T2100,17.07053,0.212
20220525T2200,15.920529,0.212
20220525T2300,14.370529,0.212
20220526T0000,13.310529,0.212
20220526T0100,12.740529,0.212
20220526T0200,11.820529,0.212
20220526T0300,11.320529,0.212
20220526T0400,11.080529,0.212
20220526T0500,12.230529,0.212
20220526T0600,14.760529,0.212
20220526T0700,17.40053,0.211
20220526T0800,19.490528,0.211
20220526T0900,20.57053,0.21
20220526T1000,21.70053,0.21
20220526T1100,22.40053,0.209
20220526T1200,22.000528,0.199
20220526T1300,22.38053,0.199
20220526T1400,21.87053,0.198
20220526T1500,22.530529,0.198
20220526T1600,22.520529,0.197
20220526T1700,22.190529,0.197
20220526T1800,21.440529,0.197
20220526T1900,20.32053,0.196
20220526T2000,18.760529,0.196
20220526T2100,17.54053,0.196
20220526T2200,16.71053,0.196
20220526T2300,15.690529,0.196
20220527T0000,14.610529,0.196
20220527T0100,13.810529,0.196
20220527T0200,13.260529,0.196
20220527T0300,12.910529,0.196
20220527T0400,12.980529,0.196
20220527T0500,14.280529,0.196
20220527T0600,17.080528,0.196
20220527T0700,19.05053,0.196
20220527T0800,20.55053,0.195
20220527T0900,21.750528,0.195
20220527T1000,22.71053,0.194
20220527T1100,23.410528,0.194
20220527T1200,22.20053,0.18
20220527T1300,22.72053,0.18
20220527T1400,22.98053,0.179
20220527T1500,23.20053,0.179
20220527T1600,23.13053,0.179
20220527T1700,22.30053,0.178
20220527T1800,21.45053,0.178
20220527T1900,19.80053,0.178
20220527T2000,18.860529,0.178
20220527T2100,18.160528,0.178
20220527T2200,17.15053,0.178
20220527T2300,16.440529,0.178
20220528T0000,15.580529,0.178
20220528T0100,13.670529,0.178
20220528T0200,11.610529,0.178
20220528T0300,12.020529,0.178
20220528T0400,11.350529,0.178
20220528T0500,11.010529,0.178
20220528T0600,11.940529,0.177
20220528T0700,13.450529,0.177
20220528T0800,15.380529,0.177
20220528T0900,16.70053,0.177
20220528T1000,17.690529,0.177
20220528T1100,18.48053,0.176
20220528T1200,18.80053,0.17
20220528T1300,18.670528,0.169
20220528T1400,18.45053,0.169
20220528T1500,18.62053,0.169
20220528T1600,19.170528,0.169
20220528T1700,18.71053,0.168
20220528T1800,17.80053,0.168
20220528T1900,15.970529,0.168
20220528T2000,14.430529,0.168
20220528T2100,13.880529,0.168
20220528T2200,13.190529,0.168
20220528T2300,12.540529,0.168
20220529T0000,12.240529,0.168
20220529T0100,11.840529,0.168
20220529T0200,10.690529,0.168
20220529T0300,9.240529,0.168
20220529T0400,8.230529,0.167
20220529T0500,8.010529,0.167
20220529T0600,9.110529,0.167
20220529T0700,10.180529,0.167
20220529T0800,12.540529,0.167
20220529T0900,14.430529,0.167
20220529T1000,15.650529,0.167
20220529T1100,16.660528,0.166
20220529T1200,16.29053,0.171
20220529T1300,16.770529,0.171
20220529T1400,17.20053,0.171
20220529T1500,17.360529,0.171
20220529T1600,17.180529,0.17
20220529T1700,16.590528,0.17
20220529T1800,15.950529,0.17
20220529T1900,15.130529,0.17
20220529T2000,14.470529,0.17
20220529T2100,13.350529,0.17
20220529T2200,11.690529,0.17
20220529T2300,10.180529,0.17
20220530T0000,8.8005295,0.17
20220530T0100,7.8305287,0.17
20220530T0200,7.0705285,0.17
20220530T0300,6.2605286,0.169
20220530T0400,5.7405286,0.169
20220530T0500,6.3405285,0.169
20220530T0600,8.020529,0.169
20220530T0700,9.980529,0.169
20220530T0800,12.410529,0.169
20220530T0900,14.540529,0.169
20220530T1000,16.20053,0.169
20220530T1100,17.500528,0.168
20220530T1200,18.88053,0.162
20220530T1300,19.65053,0.162
20220530T1400,20.100529,0.162
20220530T1500,20.340528,0.162
20220530T1600,20.270529,0.161
20220530T1700,19.97053,0.161
20220530T1800,19.520529,0.161
20220530T1900,18.72053,0.161
20220530T2000,17.360529,0.161
20220530T2100,15.750529,0.161
20220530T2200,14.260529,0.161
20220530T2300,13.560529,0.161
20220531T0000,12.870529,0.161
20220531T0100,12.320529,0.161
20220531T0200,11.3005295,0.161
20220531T0300,10.160529,0.161
20220531T0400,10.420529,0.161
20220531T0500,11.230529,0.161
20220531T0600,12.870529,0.16
20220531T0700,15.570529,0.16
20220531T0800,18.14053,0.16
20220531T0900,20.670528,0.16
20220531T1000,22.090528,0.16
20220531T1100,22.88053,0.16
20220531T1200,23.20053,0.148
20220531T1300,23.430529,0.148
20220531T1400,22.63053,0.148
20220531T1500,23.250528,0.148
20220531T1600,23.04053,0.148
20220531T1700,22.080528,0.148
20220531T1800,21.15053,0.148
20220531T1900,19.860529,0.148
20220531T2000,17.670528,0.148
20220531T2100,15.190529,0.148
20220531T2200,13.230529,0.148
20220531T2300,11.8005295,0.148
20220601T0000,10.440529,0.148
20220601T0100,10.820529,0.148
20220601T0200,11.100529,0.148
20220601T0300,11.200529,0.147
20220601T0400,10.580529,0.147
20220601T0500,11.390529,0.147
20220601T0600,14.460529,0.147
20220601T0700,17.72053,0.147
20220601T0800,20.81053,0.147
20220601T0900,22.830528,0.147
20220601T1000,23.32053,0.147
20220601T1100,23.600529,0.147
20220601T1200,22.100529,0.144
20220601T1300,21.81053,0.144
20220601T1400,22.64053,0.144
20220601T1500,23.100529,0.144
20220601T1600,22.47053,0.144
20220601T1700,20.340528,0.144
20220601T1800,21.23053,0.144
20220601T1900,20.930529,0.144
20220601T2000,19.29053,0.144
20220601T2100,17.500528,0.144
20220601T2200,16.95053,0.144
20220601T2300,16.590528,0.144
20220602T0000,16.190529,0.144
20220602T0100,14.720529,0.144
20220602T0200,13.980529,0.144
20220602T0300,12.980529,0.144
20220602T0400,12.240529,0.145
20220602T0500,13.210529,0.146
20220602T0600,14.650529,0.146
20220602T0700,16.830528,0.146
20220602T0800,19.750528,0.146
20220602T0900,22.05053,0.146
20220602T1000,24.110529,0.146
20220602T1100,25.63053,0.145
20220602T1200,23.440529,0.195
20220602T1300,24.510529,0.194
20220602T1400,25.090528,0.194
20220602T1500,25.46053,0.193
20220602T1600,25.580528,0.193
20220602T1700,25.47053,0.192
20220602T1800,24.930529,0.192
20220602T1900,23.750528,0.192
20220602T2000,21.87053,0.192
20220602T2100,20.38053,0.192
20220602T2200,18.990528,0.192
20220602T2300,18.05053,0.192
20220603T0000,18.39053,0.192
20220603T0100,17.62053,0.197
20220603T0200,17.05053,0.197
20220603T0300,17.15053,0.199
20220603T0400,16.410528,0.2
20220603T0500,17.06053,0.2
20220603T0600,19.06053,0.199
20220603T0700,20.600529,0.2
20220603T0800,22.71053,0.2
20220603T0900,25.23053,0.199
20220603T1000,26.20053,0.199
20220603T1100,26.15053,0.199
20220603T1200,28.000528,0.158
20220603T1300,27.260529,0.158
20220603T1400,23.20053,0.163
20220603T1500,21.88053,0.163
20220603T1600,23.38053,0.163
20220603T1700,23.65053,0.163
20220603T1800,23.73053,0.163
20220603T1900,22.64053,0.163
20220603T2000,21.20053,0.163
20220603T2100,18.82053,0.163
20220603T2200,17.770529,0.162
20220603T2300,17.930529,0.162
20220604T0000,18.38053,0.162
20220604T0100,18.37053,0.162
20220604T0200,17.690529,0.162
20220604T0300,17.15053,0.162
20220604T0400,17.14053,0.162
20220604T0500,17.500528,0.162
20220604T0600,19.240528,0.162
20220604T0700,21.56053,0.162
20220604T0800,23.46053,0.162
20220604T0900,25.07053,0.161
20220604T1000,26.62053,0.161
20220604T1100,27.89053,0.161
20220604T1200,28.64053,0.153
20220604T1300,29.170528,0.153
20220604T1400,29.32053,0.153
20220604T1500,29.39053,0.153
20220604T1600,29.410528,0.153
20220604T1700,29.14053,0.153
20220604T1800,28.420528,0.152
20220604T1900,27.04053,0.152
20220604T2000,25.020529,0.152
20220604T2100,23.39053,0.152
20220604T2200,22.330528,0.152
20220604T2300,21.740528,0.152
20220605T0000,20.90053,0.152
20220605T0100,20.37053,0.153
20220605T0200,19.56053,0.163
20220605T0300,19.07053,0.167
20220605T0400,18.63053,0.167
20220605T0500,19.330528,0.167
20220605T0600,20.81053,0.167
20220605T0700,23.21053,0.167
20220605T0800,24.330528,0.166
20220605T0900,25.850529,0.166
20220605T1000,26.830528,0.166
20220605T1100,27.520529,0.166
20220605T1200,21.07053,0.162
20220605T1300,21.89053,0.163
20220605T1400,22.910528,0.163
20220605T1500,24.05053,0.162
20220605T1600,23.64053,0.162
20220605T1700,23.70053,0.162
20220605T1800,22.840528,0.162
20220605T1900,21.72053,0.162
20220605T2000,20.080528,0.162
20220605T2100,18.64053,0.162
20220605T2200,17.32053,0.162
20220605T2300,16.270529,0.162
20220606T0000,15.360529,0.162
20220606T0100,14.790529,0.162
20220606T0200,14.670529,0.162
20220606T0300,15.360529,0.162
20220606T0400,15.070529,0.162
20220606T0500,16.090528,0.162
20220606T0600,18.990528,0.162
20220606T0700,19.520529,0.161
20220606T0800,20.350529,0.161
20220606T0900,21.330528,0.161
20220606T1000,22.30053,0.161
20220606T1100,23.240528,0.161
20220606T1200,22.63053,0.212
20220606T1300,23.07053,0.212
20220606T1400,23.330528,0.211
20220606T1500,23.430529,0.211
20220606T1600,23.63053,0.211
20220606T1700,23.930529,0.21
20220606T1800,23.160528,0.21
20220606T1900,22.440529,0.211
20220606T2000,21.690529,0.211
20220606T2100,21.04053,0.211
20220606T2200,20.020529,0.211
20220606T2300,19.180529,0.211
20220607T0000,18.330528,0.21
20220607T0100,17.490528,0.212
20220607T0200,15.470529,0.234
20220607T0300,15.270529,0.248
20220607T0400,14.340529,0.286
20220607T0500,14.680529,0.295
20220607T0600,16.32053,0.291
20220607T0700,17.39053,0.287
20220607T0800,17.990528,0.286
20220607T0900,17.360529,0.284
20220607T1000,17.180529,0.282
20220607T1100,17.510529,0.283
20220607T1200,19.46053,0.208
20220607T1300,20.920528,0.207
20220607T1400,20.47053,0.207
20220607T1500,20.64053,0.206
20220607T1600,20.96053,0.206
20220607T1700,20.280529,0.205
20220607T1800,19.98053,0.205
20220607T1900,19.110529,0.205
20220607T2000,18.010529,0.205
20220607T2100,16.610529,0.205
20220607T2200,15.240529,0.205
20220607T2300,14.640529,0.205
20220608T0000,14.470529,0.204
20220608T0100,14.330529,0.204
20220608T0200,14.030529,0.204
20220608T0300,13.570529,0.204
20220608T0400,12.830529,0.205
20220608T0500,12.850529,0.204
20220608T0600,15.580529,0.204
20220608T0700,18.80053,0.204
20220608T0800,20.840528,0.204
20220608T0900,22.23053,0.203
20220608T1000,22.490528,0.203
20220608T1100,21.22053,0.202
20220608T1200,18.830528,0.188
20220608T1300,17.340528,0.19
20220608T1400,16.690529,0.198
