timestamp,Basel Temperature [2 m elevation corrected],Basel Soil Moisture [0-10 cm down]
20220108T2100,5.2205286,0.278
20220108T2200,5.7405286,0.283
20220108T2300,5.6805286,0.285
20220109T0000,6.4205284,0.288
20220109T0100,5.5305285,0.292
20220109T0200,4.0805287,0.296
20220109T0300,2.2105286,0.307
20220109T0400,3.3505285,0.305
20220109T0500,3.1205285,0.302
20220109T0600,2.9305286,0.3
20220109T0700,2.5405285,0.299
20220109T0800,2.9405286,0.297
20220109T0900,3.8805285,0.296
20220109T1000,4.7805285,0.294
20220109T1100,4.9105287,0.293
20220109T1200,5.0105286,0.289
20220109T1300,5.5805287,0.289
20220109T1400,5.290529,0.288
20220109T1500,4.9605284,0.288
20220109T1600,3.9205287,0.289
20220109T1700,3.1305285,0.292
20220109T1800,2.1405284,0.298
20220109T1900,2.3505285,0.301
20220109T2000,2.0305285,0.304
20220109T2100,1.7205287,0.304
20220109T2200,1.9405286,0.303
20220109T2300,1.8105286,0.305
20220110T0000,1.5605286,0.307
20220110T0100,2.2005286,0.304
20220110T0200,0.67052865,0.302
20220110T0300,0.37052867,0.301
20220110T0400,0.9605287,0.3
20220110T0500,1.0505286,0.298
20220110T0600,0.99052864,0.297
20220110T0700,0.9605287,0.297
20220110T0800,1.1205287,0.296
20220110T0900,1.6905286,0.295
20220110T1000,2.2805285,0.295
20220110T1100,2.6505284,0.294
20220110T1200,3.4805286,0.296
20220110T1300,4.3405285,0.296
20220110T1400,4.7305284,0.295
20220110T1500,4.8205285,0.295
20220110T1600,4.3905287,0.295
20220110T1700,3.0205286,0.295
20220110T1800,0.8805287,0.295
20220110T1900,0.18052867,0.295
20220110T2000,-0.36947134,0.295
20220110T2100,-0.59947133,0.295
20220110T2200,-0.6794713,0.295
20220110T2300,-0.7994713,0.294
20220111T0000,-0.96947134,0.294
20220111T0100,-0.94947135,0.294
20220111T0200,-1.1194713,0.294
20220111T0300,-1.2594713,0.295
20220111T0400,-1.2994714,0.295
20220111T0500,-1.4794713,0.295
20220111T0600,-1.7494713,0.294
20220111T0700,-2.1494715,0.294
20220111T0800,-2.1394715,0.294
20220111T0900,-0.7394713,0.294
20220111T1000,0.81052864,0.294
20220111T1100,1.4905287,0.294
20220111T1200,3.9605286,0.283
20220111T1300,4.5305285,0.283
20220111T1400,4.8605285,0.283
20220111T1500,4.3205285,0.283
20220111T1600,3.0005286,0.283
20220111T1700,1.3605287,0.283
20220111T1800,-0.21947134,0.283
20220111T1900,-0.87947136,0.283
20220111T2000,-1.0294713,0.283
20220111T2100,-1.0994713,0.283
20220111T2200,-1.2794713,0.283
20220111T2300,-1.6094713,0.283
20220112T0000,-1.9394714,0.283
20220112T0100,-2.2394714,0.283
20220112T0200,-2.6194715,0.282
20220112T0300,-2.9994714,0.282
20220112T0400,-3.2294714,0.282
20220112T0500,-3.7694714,0.282
20220112T0600,-4.2394714,0.282
20220112T0700,-4.5394716,0.282
20220112T0800,-4.4494715,0.282
20220112T0900,-3.6894715,0.282
20220112T1000,-2.6594715,0.282
20220112T1100,-1.7294713,0.282
20220112T1200,3.2905285,0.274
20220112T1300,2.3905284,0.274
20220112T1400,2.3605285,0.274
20220112T1500,2.3605285,0.274
20220112T1600,2.1905286,0.274
20220112T1700,0.66052866,0.274
20220112T1800,-0.7894713,0.274
20220112T1900,-1.4094714,0.274
20220112T2000,-1.6294713,0.274
20220112T2100,-1.7494713,0.274
20220112T2200,-1.9294714,0.274
20220112T2300,-1.9594713,0.274
20220113T0000,-1.9294714,0.273
20220113T0100,-2.0394714,0.273
20220113T0200,-2.3194714,0.273
20220113T0300,-2.6794715,0.273
20220113T0400,-2.8494716,0.273
20220113T0500,-3.0794713,0.273
20220113T0600,-3.3494716,0.273
20220113T0700,-3.7494714,0.273
20220113T0800,-3.6394715,0.274
20220113T0900,-2.7694714,0.273
20220113T1000,-1.7094713,0.273
20220113T1100,-0.70947134,0.273
20220113T1200,2.7705286,0.279
20220113T1300,3.2605286,0.279
20220113T1400,3.6805286,0.278
20220113T1500,3.7305286,0.278
20220113T1600,3.2505286,0.277
20220113T1700,2.1605287,0.277
20220113T1800,1.3405286,0.277
20220113T1900,1.0105287,0.277
20220113T2000,0.8205287,0.277
20220113T2100,0.5705287,0.277
20220113T2200,0.5705287,0.277
20220113T2300,0.45052865,0.277
20220114T0000,0.36052868,0.277
20220114T0100,0.23052865,0.277
20220114T0200,-0.45947134,0.277
20220114T0300,-0.9894713,0.277
20220114T0400,-1.1794714,0.277
20220114T0500,-1.1194713,0.277
20220114T0600,-1.1294713,0.277
20220114T0700,-1.2594713,0.277
20220114T0800,-0.7994713,0.277
20220114T0900,0.7005287,0.278
20220114T1000,1.9605286,0.277
20220114T1100,3.0905285,0.277
20220114T1200,4.6905284,0.297
20220114T1300,6.0305285,0.294
20220114T1400,6.9005284,0.293
20220114T1500,6.9005284,0.291
20220114T1600,6.5205283,0.29
20220114T1700,5.3905287,0.289
20220114T1800,3.5005286,0.288
20220114T1900,2.3805285,0.287
20220114T2000,1.6805286,0.286
20220114T2100,0.7505287,0.286
20220114T2200,0.110528655,0.285
20220114T2300,0.030528657,0.285
20220115T0000,-0.12947133,0.285
20220115T0100,-0.20947134,0.285
20220115T0200,-0.14947134,0.285
20220115T0300,-0.04947134,0.285
20220115T0400,0.110528655,0.285
20220115T0500,0.56052864,0.285
20220115T0600,2.0005286,0.285
20220115T0700,1.5505286,0.285
20220115T0800,1.3505287,0.285
20220115T0900,2.2905285,0.285
20220115T1000,3.3705285,0.285
20220115T1100,4.4505286,0.285
20220115T1200,5.8505287,0.281
20220115T1300,6.9905286,0.281
20220115T1400,7.5805287,0.28
20220115T1500,7.2605286,0.28
20220115T1600,6.290529,0.279
20220115T1700,3.8805285,0.279
20220115T1800,1.4705287,0.279
20220115T1900,1.0405287,0.279
20220115T2000,1.2905287,0.278
20220115T2100,1.5105287,0.278
20220115T2200,1.7605287,0.278
20220115T2300,1.9505286,0.278
20220116T0000,2.1005285,0.278
20220116T0100,2.1205285,0.278
20220116T0200,1.8405286,0.278
20220116T0300,1.7805287,0.278
20220116T0400,1.2805287,0.278
20220116T0500,0.5705287,0.278
20220116T0600,0.45052865,0.278
20220116T0700,0.6905287,0.278
20220116T0800,0.90052867,0.278
20220116T0900,2.3105285,0.278
20220116T1000,4.2205286,0.278
20220116T1100,5.5305285,0.278
20220116T1200,4.8605285,0.274
20220116T1300,5.3805285,0.273
20220116T1400,5.4705286,0.273
20220116T1500,4.9705286,0.272
20220116T1600,3.7505286,0.272
20220116T1700,3.4505286,0.272
20220116T1800,3.0805285,0.271
